timestamp,user_id,video_path,score,type
2025-12-04T11:50:20.172723,200124252210,Video 1: Yqgvyfam Jlalaeg Nmor,0.9969,new_content_push
2025-12-04T11:50:20.172786,200124163201,Video 1: Yqgvyfam Jlalaeg Nmor,0.9969,new_content_push
2025-12-04T11:50:20.172796,20011941421,Video 1: Yqgvyfam Jlalaeg Nmor,0.9969,new_content_push
2025-12-04T11:50:20.172803,20011941261,Video 1: Yqgvyfam Jlalaeg Nmor,0.9969,new_content_push
2025-12-04T11:50:20.172809,20011941258,Video 1: Yqgvyfam Jlalaeg Nmor,0.9969,new_content_push
2025-12-04T11:50:20.219218,200124252210,Video 2: Sahafdsu Ozhujbk Mdrlqsh,0.9949,new_content_push
2025-12-04T11:50:20.219258,200124163201,Video 2: Sahafdsu Ozhujbk Mdrlqsh,0.9949,new_content_push
2025-12-04T11:50:20.219267,20011941421,Video 2: Sahafdsu Ozhujbk Mdrlqsh,0.9949,new_content_push
2025-12-04T11:50:20.219273,20011941261,Video 2: Sahafdsu Ozhujbk Mdrlqsh,0.9949,new_content_push
2025-12-04T11:50:20.219279,20011941258,Video 2: Sahafdsu Ozhujbk Mdrlqsh,0.9949,new_content_push
2025-12-04T11:50:20.266064,200126061486,Video 3: Gdju Sjnoqy Rooxr,0.9948,new_content_push
2025-12-04T11:50:20.266103,200126038658,Video 3: Gdju Sjnoqy Rooxr,0.9944,new_content_push
2025-12-04T11:50:20.266112,200126223516,Video 3: Gdju Sjnoqy Rooxr,0.9942,new_content_push
2025-12-04T11:50:20.266118,200124252210,Video 3: Gdju Sjnoqy Rooxr,0.9928,new_content_push
2025-12-04T11:50:20.266124,200124163201,Video 3: Gdju Sjnoqy Rooxr,0.9928,new_content_push
2025-12-04T11:50:20.314617,200126061486,Video 4: Yimepnl Jgcwb Kwxjokse,0.9952,new_content_push
2025-12-04T11:50:20.314655,200126038658,Video 4: Yimepnl Jgcwb Kwxjokse,0.9947,new_content_push
2025-12-04T11:50:20.314664,200126223516,Video 4: Yimepnl Jgcwb Kwxjokse,0.9943,new_content_push
2025-12-04T11:50:20.314670,200124252210,Video 4: Yimepnl Jgcwb Kwxjokse,0.9904,new_content_push
2025-12-04T11:50:20.314675,200124163201,Video 4: Yimepnl Jgcwb Kwxjokse,0.9904,new_content_push
2025-12-04T11:50:20.361790,200127660658,Video 5: Fllp Hzna Jofxjlj,0.999,new_content_push
2025-12-04T11:50:20.361828,200124252210,Video 5: Fllp Hzna Jofxjlj,0.9989,new_content_push
2025-12-04T11:50:20.361837,200124163201,Video 5: Fllp Hzna Jofxjlj,0.9989,new_content_push
2025-12-04T11:50:20.361843,20011941421,Video 5: Fllp Hzna Jofxjlj,0.9989,new_content_push
2025-12-04T11:50:20.361848,20011941261,Video 5: Fllp Hzna Jofxjlj,0.9989,new_content_push
2025-12-04T11:50:20.408429,200126061486,Video 6: Vfnsvzkp Lcruu Gbypkrhy,0.9952,new_content_push
2025-12-04T11:50:20.408470,200126038658,Video 6: Vfnsvzkp Lcruu Gbypkrhy,0.9947,new_content_push
2025-12-04T11:50:20.408479,200126223516,Video 6: Vfnsvzkp Lcruu Gbypkrhy,0.9942,new_content_push
2025-12-04T11:50:20.408485,200126064498,Video 6: Vfnsvzkp Lcruu Gbypkrhy,0.99,new_content_push
2025-12-04T11:50:20.408490,200124252210,Video 6: Vfnsvzkp Lcruu Gbypkrhy,0.9896,new_content_push
2025-12-04T11:50:20.453941,200124252210,Video 7: Iudtu Yrcqq Tomtw,0.9986,new_content_push
2025-12-04T11:50:20.453985,200124163201,Video 7: Iudtu Yrcqq Tomtw,0.9986,new_content_push
2025-12-04T11:50:20.453994,20011941421,Video 7: Iudtu Yrcqq Tomtw,0.9986,new_content_push
2025-12-04T11:50:20.454000,20011941261,Video 7: Iudtu Yrcqq Tomtw,0.9986,new_content_push
2025-12-04T11:50:20.454005,20011941258,Video 7: Iudtu Yrcqq Tomtw,0.9986,new_content_push
2025-12-04T11:50:20.499538,200124252210,Video 8: Jjlsufgl Gayyos Ogdf,0.9989,new_content_push
2025-12-04T11:50:20.499578,200124163201,Video 8: Jjlsufgl Gayyos Ogdf,0.9989,new_content_push
2025-12-04T11:50:20.499587,20011941421,Video 8: Jjlsufgl Gayyos Ogdf,0.9989,new_content_push
2025-12-04T11:50:20.499593,20011941261,Video 8: Jjlsufgl Gayyos Ogdf,0.9989,new_content_push
2025-12-04T11:50:20.499599,20011941258,Video 8: Jjlsufgl Gayyos Ogdf,0.9989,new_content_push
2025-12-04T11:50:20.545957,200124252210,Video 9: Ujsvqca Vrgaeg Ejelvz,0.9947,new_content_push
2025-12-04T11:50:20.545999,200124163201,Video 9: Ujsvqca Vrgaeg Ejelvz,0.9947,new_content_push
2025-12-04T11:50:20.546008,20011941421,Video 9: Ujsvqca Vrgaeg Ejelvz,0.9947,new_content_push
2025-12-04T11:50:20.546014,20011941261,Video 9: Ujsvqca Vrgaeg Ejelvz,0.9947,new_content_push
2025-12-04T11:50:20.546019,20011941258,Video 9: Ujsvqca Vrgaeg Ejelvz,0.9947,new_content_push
2025-12-04T11:50:20.591557,200126061486,Video 10: Qdgplrj Ohilbmn Ueyh,0.9951,new_content_push
